@relation treino

@attribute CLASSES {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@attribute HU1 real
@attribute HU2 real
@attribute HU3 real
@attribute HU4 real
@attribute HU5 real
@attribute HU6 real
@attribute HU7 real

@data
0,0.50683123906546157,0.11976085026134661,0.0082472117770254066,0.001939858389553253,-1.5537855037402834e-06,-0.00040889521090815606,7.6018830073004679e-06
0,0.40694667674877028,0.059912034204544787,0.0013946421140053097,0.00087033440461341889,7.3088059490361546e-07,1.7848769706074159e-05,6.2068428065730073e-07
0,0.45530740220838484,0.087507263257158588,0.0024151614071696668,8.4371343124221536e-05,-3.1391949740445829e-08,-2.1002024599840004e-05,-2.156594455750457e-08
0,0.32055398889880266,0.042743658080798108,0.0020815767536136336,0.00047150911087756998,-2.8769166326833332e-07,-7.9896640657710946e-05,3.6801834338748815e-07
0,0.78988351852834915,0.41902437865869907,0.02936463287131091,0.074194275801798215,0.0031850439577929216,0.044568438299531436,-0.0013596743397412091
0,0.43536042421073473,0.07114943150874331,0.00095281466455216239,0.00029131301854811239,1.1996428938107887e-07,-2.8534211196209452e-06,9.5727951423653802e-08
0,0.55826432000000004,0.07667214191165439,0.0055778930781664286,0.00097639659576674684,-2.2773688286987806e-06,-0.00024082544166847584,-7.5906725092682161e-08
0,0.56573104858398438,0.11584772124479059,0.0082739503236164396,0.001385855373076561,-2.2790158530194232e-06,-0.00016001594912147318,-4.1022661751799694e-06
0,0.45256747004128778,0.10195731996015385,0.0058269869786170044,0.0020075052493122229,5.8132818714554952e-06,2.2289414000885995e-05,3.6535486061486621e-06
0,0.43211379242304238,0.083040392452175496,0.0033319890997854347,0.0009033398191921828,1.7715754863562414e-08,-0.00011297216965815255,1.567114643198437e-06
0,0.43211379242304238,0.083040392452175496,0.0033319890997854347,0.0009033398191921828,1.7715754863562414e-08,-0.00011297216965815255,1.567114643198437e-06
0,0.3386924657577321,0.037460818519561949,2.7232679332012423e-05,1.2531625145312927e-05,2.2526858539918914e-10,2.3832321322356047e-06,5.3363082210030908e-11
0,0.45631551742553711,0.079432073094949374,0.0090131197221732795,0.0002529211059346137,-1.6899715330405914e-07,7.0272111991674981e-07,3.4243892198235635e-07
0,0.64231142454931867,0.15807500079216238,0.0042794177864307016,5.3082821574986517e-06,7.7645186572018933e-10,-1.0794330804432557e-06,1.9292697465796885e-10
0,0.45631551742553711,0.079432073094949374,0.0090131197221732795,0.0002529211059346137,-1.6899715330405914e-07,7.0272111991674981e-07,3.4243892198235635e-07
0,0.64231142454931867,0.15807500079216238,0.0042794177864307016,5.3082821574986517e-06,7.7645186572018933e-10,-1.0794330804432557e-06,1.9292697465796885e-10
